token	frequency	bucket	is_propn	caps_majority	lemma
cave	136	proper_noun	1	0	cave
dragon	136	common_gap	0	0	dragon
monster	135	proper_noun	1	0	monster
cookies	134	common_gap	0	0	cooky
duck	134	common_gap	0	0	duck
bucket	131	common_gap	0	0	bucket
fairy	130	proper_noun	1	0	fairy
jenny	129	proper_noun	1	1	jenny
kite	128	common_gap	0	0	kite
jake	124	proper_noun	1	1	jake
backyard	123	common_gap	0	0	backyard
naughty	122	common_gap	0	0	naughty
emily	121	proper_noun	1	1	emily
alice	119	proper_noun	1	1	alice
nap	115	common_gap	0	0	nap
swam	114	common_gap	0	0	swam
treasure	112	common_gap	0	0	treasure
blanket	109	common_gap	0	0	blanket
pete	109	proper_noun	1	1	pete
tasty	106	common_gap	0	0	tasty
dolls	105	common_gap	0	0	doll
basket	104	common_gap	0	0	basket
shining	104	common_gap	0	0	shin
sunshine	103	common_gap	0	0	sunshine
cozy	100	proper_noun	1	0	cozy
sack	100	common_gap	0	0	sack
kitten	99	proper_noun	1	0	kitten
peter	98	proper_noun	1	1	peter
jim	97	proper_noun	1	1	jim
grandpa	94	proper_noun	1	1	grandpa
sammy	94	proper_noun	1	1	sammy
lovely	92	common_gap	0	0	lovely
rainbow	92	common_gap	0	0	rainbow
furry	90	proper_noun	1	0	furry
hop	90	proper_noun	1	0	hop
bugs	89	common_gap	0	0	bug
hoped	89	common_gap	0	0	hop
cute	87	common_gap	0	0	cute
bobby	85	proper_noun	1	1	bobby
susie	85	proper_noun	1	1	susie
jungle	84	proper_noun	1	0	jungle
meadow	84	common_gap	0	0	meadow
johnny	83	proper_noun	1	1	johnny
sandy	83	proper_noun	1	1	sandy
tweety	83	proper_noun	1	1	tweety
jen	82	proper_noun	1	1	jen
bow	81	common_gap	0	0	bow
jar	81	common_gap	0	0	jar
playground	81	common_gap	0	0	playground
andy	79	proper_noun	1	1	andy
colourful	79	common_gap	0	0	colourful
picnic	78	common_gap	0	0	picnic
swings	78	common_gap	0	0	swing
gently	75	common_gap	0	0	gently
sparkly	75	common_gap	0	0	sparkly
angel	74	common_gap	0	0	angel
hopping	74	common_gap	0	0	hop
tightly	74	common_gap	0	0	tightly
playing	73	inflection_miss	0	0	play
yelled	72	common_gap	0	0	yell
dependable	71	proper_noun	1	0	dependable
nest	71	common_gap	0	0	nest
smelly	71	common_gap	0	0	smelly
couch	70	common_gap	0	0	couch
goat	70	proper_noun	1	0	goat
jealous	70	common_gap	0	0	jealous
papa	70	proper_noun	1	1	papa
puddle	70	common_gap	0	0	puddle
grace	69	proper_noun	1	1	grace
hugs	69	common_gap	0	0	hug
snack	69	common_gap	0	0	snack
shore	68	common_gap	0	0	shore
splash	68	proper_noun	1	0	splash
whistle	68	proper_noun	1	0	whistle
mr.	67	common_gap	0	0	mr
selfish	67	common_gap	0	0	selfish
ant	66	proper_noun	1	0	ant
caterpillar	66	proper_noun	1	0	caterpillar
realised	66	common_gap	0	0	realise
sour	66	proper_noun	1	0	sour
thankful	66	common_gap	0	0	thankful
wagon	66	common_gap	0	0	wagon
chased	65	common_gap	0	0	chase
crayons	65	common_gap	0	0	crayon
ladder	65	common_gap	0	0	ladder
alex	64	proper_noun	1	1	alex
mrs.	64	common_gap	0	0	mrs
pizza	64	proper_noun	1	0	pizza
polly	64	proper_noun	1	1	polly
skipped	64	common_gap	0	0	skip
sleepy	64	common_gap	0	0	sleepy
lisa	63	proper_noun	1	1	lisa
tag	63	common_gap	0	0	tag
clumsy	62	proper_noun	1	0	clumsy
james	62	proper_noun	1	1	james
tiger	62	common_gap	0	0	tiger
bull	61	proper_noun	1	0	bull
clay	61	common_gap	0	0	clay
frustrated	61	common_gap	0	0	frustrate
honey	61	proper_noun	1	0	honey
bench	60	common_gap	0	0	bench
cactus	60	proper_noun	1	0	cactus
excitedly	60	proper_noun	1	0	excitedly
peanut	60	proper_noun	1	0	peanut
snacks	60	common_gap	0	0	snack
brightly	59	common_gap	0	0	brightly
delighted	58	common_gap	0	0	delight
ducks	58	common_gap	0	0	duck
eager	58	proper_noun	1	0	eager
giggled	58	proper_noun	1	0	giggle
messy	58	common_gap	0	0	messy
mittens	58	proper_noun	1	1	mitten
delight	57	common_gap	0	0	delight
jog	57	proper_noun	1	0	jog
puzzle	57	common_gap	0	0	puzzle
tidy	57	proper_noun	1	0	tidy
toby	57	proper_noun	1	1	toby
bald	56	common_gap	0	0	bald
icy	56	proper_noun	1	0	icy
sophie	56	proper_noun	1	1	sophie
accidentally	55	common_gap	0	0	accidentally
adventurous	55	common_gap	0	0	adventurous
obedient	55	common_gap	0	0	obedient
raven	55	proper_noun	1	0	raven
sighed	55	common_gap	0	0	sigh
favourite	54	common_gap	0	0	favourite
gem	54	proper_noun	1	0	gem
joey	54	proper_noun	1	1	joey
maze	54	common_gap	0	0	maze
spin	54	common_gap	0	0	spin
splashed	54	common_gap	0	0	splash
turkey	54	common_gap	0	0	turkey
barber	53	common_gap	0	0	barber
comet	53	proper_noun	1	0	comet
crawled	53	common_gap	0	0	crawl
dizzy	53	common_gap	0	0	dizzy
fred	53	proper_noun	1	1	fre
rocket	53	common_gap	0	0	rocket
crown	52	common_gap	0	0	crown
fridge	52	common_gap	0	0	fridge
george	52	proper_noun	1	1	george
grumpy	52	common_gap	0	0	grumpy
lola	52	proper_noun	1	1	lola
octopus	52	common_gap	0	0	octopus
skip	52	proper_noun	1	0	skip
stumbled	52	common_gap	0	0	stumble
dolphin	51	common_gap	0	0	dolphin
hive	51	common_gap	0	0	hive
lizard	51	common_gap	0	0	lizard
smith	51	proper_noun	1	1	smith
violin	51	common_gap	0	0	violin
barked	50	common_gap	0	0	bark
delicate	50	common_gap	0	0	delicate
mighty	50	proper_noun	1	0	mighty
exclaimed	49	common_gap	0	0	exclaim
maria	49	proper_noun	1	1	maria
zoom	49	proper_noun	1	0	zoom
fin	48	proper_noun	1	1	fin
henry	48	proper_noun	1	1	henry
higher	48	common_gap	0	0	higher
leash	48	common_gap	0	0	leash
rosie	48	proper_noun	1	1	rosie
dinosaur	47	common_gap	0	0	dinosaur
eraser	47	common_gap	0	0	eraser
ignorant	47	proper_noun	1	0	ignorant
jet	47	proper_noun	1	0	jet
mandy	47	proper_noun	1	1	mandy
persistent	47	common_gap	0	0	persistent
bella	46	proper_noun	1	1	bella
crayon	46	proper_noun	1	0	crayon
dull	46	common_gap	0	0	dull
flute	46	proper_noun	1	0	flute
glue	46	common_gap	0	0	glue
pirate	46	common_gap	0	0	pirate
pit	46	proper_noun	1	0	pit
poppy	46	proper_noun	1	0	poppy
ruined	46	common_gap	0	0	ruin
shopkeeper	46	common_gap	0	0	shopkeeper
witch	46	common_gap	0	0	witch
elly	45	proper_noun	1	1	elly
foolish	45	common_gap	0	0	foolish
hippo	45	proper_noun	1	0	hippo
loyal	45	common_gap	0	0	loyal
otter	45	common_gap	0	0	otter
pole	45	proper_noun	1	0	pole
safely	45	common_gap	0	0	safely
bounce	44	common_gap	0	0	bounce
clown	44	proper_noun	1	0	clown
crab	44	common_gap	0	0	crab
danny	44	proper_noun	1	1	danny
deer	44	common_gap	0	0	deer
ducky	44	proper_noun	1	1	ducky
fountain	44	common_gap	0	0	fountain
juicy	44	common_gap	0	0	juicy
kindness	44	common_gap	0	0	kindness
leo	44	proper_noun	1	1	leo
nosy	44	common_gap	0	0	nosy
purse	44	common_gap	0	0	purse
roar	44	proper_noun	1	0	roar
turtle	44	proper_noun	1	0	turtle
whale	44	common_gap	0	0	whale
arrow	43	common_gap	0	0	arrow
cage	43	common_gap	0	0	cage
charming	43	common_gap	0	0	charming
kayak	43	proper_noun	1	0	kayak
log	43	common_gap	0	0	log
parade	43	common_gap	0	0	parade
rose	43	inflection_miss	1	0	rise
ted	43	proper_noun	1	1	te
weird	43	common_gap	0	0	weird
cabin	42	common_gap	0	0	cabin
candle	42	common_gap	0	0	candle
gasped	42	common_gap	0	0	gasp
josh	42	proper_noun	1	1	josh
paw	42	common_gap	0	0	paw
vase	42	common_gap	0	0	vase
wand	42	common_gap	0	0	wand
zoo	42	common_gap	0	0	zoo
chubby	41	proper_noun	1	0	chubby
rachel	41	proper_noun	1	1	rachel
sweetheart	41	proper_noun	1	0	sweetheart
tutor	41	common_gap	0	0	tutor
wolf	41	common_gap	0	0	wolf
berries	40	common_gap	0	0	berry
cone	40	proper_noun	1	0	cone
dave	40	proper_noun	1	1	dave
frank	40	proper_noun	1	1	frank
laundry	40	common_gap	0	0	laundry
lightning	40	common_gap	0	0	lightning
patch	40	common_gap	0	0	patch
proudly	40	common_gap	0	0	proudly
raft	40	common_gap	0	0	raft
remy	40	proper_noun	1	1	remy
trunk	40	common_gap	0	0	trunk
tummy	40	common_gap	0	0	tummy
volcano	40	proper_noun	1	0	volcano
wander	40	common_gap	0	0	wander
alert	39	common_gap	0	0	alert
barn	39	common_gap	0	0	barn
oyster	39	common_gap	0	0	oyster
peeked	39	common_gap	0	0	peek
shark	39	common_gap	0	0	shark
sparkled	39	common_gap	0	0	sparkle
stubborn	39	common_gap	0	0	stubborn
velvet	39	proper_noun	1	0	velvet
wagged	39	common_gap	0	0	wag
wiped	39	common_gap	0	0	wipe
butterflies	38	common_gap	0	0	butterfly
fake	38	common_gap	0	0	fake
fierce	38	common_gap	0	0	fierce
flashlight	38	common_gap	0	0	flashlight
hairy	38	common_gap	0	0	hairy
millie	38	proper_noun	1	1	millie
mole	38	common_gap	0	0	mole
peek	38	common_gap	0	0	peek
spinning	38	common_gap	0	0	spin
spun	38	common_gap	0	0	spin
treasures	38	common_gap	0	0	treasure
tuna	38	proper_noun	1	0	tuna
twirled	38	common_gap	0	0	twirl
chase	37	proper_noun	1	0	chase
cocoa	37	common_gap	0	0	cocoa
crack	37	proper_noun	1	0	crack
graceful	37	common_gap	0	0	graceful
harbor	37	proper_noun	1	0	harbor
harmless	37	common_gap	0	0	harmless
jewel	37	proper_noun	1	0	jewel
knight	37	common_gap	0	0	knight
pillow	37	common_gap	0	0	pillow
playful	37	common_gap	0	0	playful
triangle	37	common_gap	0	0	triangle
trophy	37	common_gap	0	0	trophy
cane	36	common_gap	0	0	cane
crane	36	common_gap	0	0	crane
lilly	36	proper_noun	1	1	lilly
necklace	36	common_gap	0	0	necklace
olive	36	proper_noun	1	0	olive
scissors	36	common_gap	0	0	scissor
tony	36	proper_noun	1	1	tony
vine	36	common_gap	0	0	vine
betty	35	proper_noun	1	1	betty
colours	35	common_gap	0	0	colour
cushion	35	common_gap	0	0	cushion
knob	35	common_gap	0	0	knob
loved	35	inflection_miss	1	0	love
mushroom	35	proper_noun	1	0	mushroom
rat	35	proper_noun	1	0	rat
shrimp	35	common_gap	0	0	shrimp
attic	34	common_gap	0	0	attic
axe	34	common_gap	0	0	axe
chamber	34	common_gap	0	0	chamber
chasing	34	common_gap	0	0	chase
clap	34	common_gap	0	0	clap
clapping	34	common_gap	0	0	clapping
doggy	34	proper_noun	1	0	doggy
dove	34	common_gap	0	0	dove
hay	34	proper_noun	1	0	hay
kate	34	proper_noun	1	1	kate
knot	34	common_gap	0	0	knot
laser	34	proper_noun	1	0	laser
mailbox	34	common_gap	0	0	mailbox
miserable	34	common_gap	0	0	miserable
nod	34	proper_noun	1	0	nod
paul	34	proper_noun	1	1	paul
spaghetti	34	common_gap	0	0	spaghetti
sweetie	34	proper_noun	1	0	sweetie
berry	33	common_gap	0	0	berry
blinked	33	common_gap	0	0	blink
bossy	33	common_gap	0	0	bossy
charlie	33	proper_noun	1	1	charlie
chew	33	common_gap	0	0	chew
fragile	33	common_gap	0	0	fragile
freddy	33	proper_noun	1	1	freddy
frowned	33	common_gap	0	0	frown
harsh	33	common_gap	0	0	harsh
jolly	33	common_gap	0	0	jolly
leak	33	common_gap	0	0	leak
maddy	33	proper_noun	1	1	maddy
modest	33	common_gap	0	0	modest
nods	33	common_gap	0	0	nod
ow	33	proper_noun	1	1	ow
razor	33	common_gap	0	0	razor
squash	33	proper_noun	1	0	squash
swan	33	common_gap	0	0	swan
swinging	33	common_gap	0	0	swing
ann	32	proper_noun	1	1	ann
cube	32	common_gap	0	0	cube
ella	32	proper_noun	1	1	ella
envious	32	common_gap	0	0	envious
faucet	32	proper_noun	1	0	faucet
goose	32	proper_noun	1	0	goose
licked	32	common_gap	0	0	lick
mike	32	proper_noun	1	1	mike
pigeon	32	proper_noun	1	0	pigeon
snowy	32	proper_noun	1	1	snowy
sparkling	32	common_gap	0	0	sparkle
thoughtful	32	common_gap	0	0	thoughtful
balloons	31	common_gap	0	0	balloon
blackboard	31	proper_noun	1	0	blackboard
bloom	31	proper_noun	1	0	bloom
distant	31	proper_noun	1	0	distant
filthy	31	common_gap	0	0	filthy
gloomy	31	common_gap	0	0	gloomy
golden	31	common_gap	0	0	golden
leopard	31	proper_noun	1	0	leopard
louder	31	common_gap	0	0	louder
mechanic	31	common_gap	0	0	mechanic
mill	31	common_gap	0	0	mill
pear	31	common_gap	0	0	pear
pup	31	proper_noun	1	0	pup
steve	31	proper_noun	1	1	steve
surrender	31	proper_noun	1	0	surrender
swamp	31	common_gap	0	0	swamp
yell	31	common_gap	0	0	yell
zebra	31	common_gap	0	0	zebra
zip	31	proper_noun	1	0	zip
annie	30	proper_noun	1	1	annie
beep	30	proper_noun	1	0	beep
bounced	30	common_gap	0	0	bounce
buzz	30	proper_noun	1	1	buzz
chimney	30	common_gap	0	0	chimney
compassionate	30	common_gap	0	0	compassionate
creek	30	common_gap	0	0	creek
envelope	30	common_gap	0	0	envelope
folder	30	common_gap	0	0	folder
giggle	30	common_gap	0	0	giggle
hammer	30	common_gap	0	0	hammer
lemonade	30	proper_noun	1	0	lemonade
mixer	30	common_gap	0	0	mixer
perfume	30	common_gap	0	0	perfume
thread	30	common_gap	0	0	thread
tilly	30	proper_noun	1	1	tilly
tweetie	30	proper_noun	1	1	tweetie
veil	30	common_gap	0	0	veil
vendor	30	common_gap	0	0	vendor
wheat	30	common_gap	0	0	wheat
awe	29	proper_noun	1	0	awe
beetle	29	common_gap	0	0	beetle
disgusting	29	common_gap	0	0	disgust
hoop	29	common_gap	0	0	hoop
horn	29	common_gap	0	0	horn
jogged	29	common_gap	0	0	jog
pill	29	common_gap	0	0	pill
pine	29	proper_noun	1	0	pine
skipping	29	common_gap	0	0	skip
spike	29	proper_noun	1	1	spike
wandered	29	common_gap	0	0	wander
yacht	29	common_gap	0	0	yacht
yogurt	29	proper_noun	1	0	yogurt
boo	28	proper_noun	1	1	boo
bouncing	28	common_gap	0	0	bounce
glow	28	common_gap	0	0	glow
hook	28	common_gap	0	0	hook
jelly	28	common_gap	0	0	jelly
mask	28	common_gap	0	0	mask
nicely	28	common_gap	0	0	nicely
nora	28	proper_noun	1	1	nora
pie	28	common_gap	0	0	pie
ralph	28	proper_noun	1	1	ralph
rug	28	common_gap	0	0	rug
scooter	28	common_gap	0	0	scooter
stirred	28	common_gap	0	0	stir
sunflower	28	proper_noun	1	0	sunflower
tray	28	common_gap	0	0	tray
troubled	28	inflection_miss	0	0	trouble
tucked	28	common_gap	0	0	tuck
tweet	28	proper_noun	1	1	tweet
amazement	27	common_gap	0	0	amazement
calendar	27	common_gap	0	0	calendar
cherry	27	common_gap	0	0	cherry
eagerly	27	common_gap	0	0	eagerly
grown	27	inflection_miss	0	0	grow
helpless	27	common_gap	0	0	helpless
hut	27	proper_noun	1	0	hut
lid	27	common_gap	0	0	lid
lollipop	27	common_gap	0	0	lollipop
maggie	27	proper_noun	1	1	maggie
massage	27	common_gap	0	0	massage
microscope	27	common_gap	0	0	microscope
neighbourhood	27	common_gap	0	0	neighbourhood
peanuts	27	common_gap	0	0	peanut
rod	27	proper_noun	1	0	rod
snowman	27	common_gap	0	0	snowman
soar	27	common_gap	0	0	soar
softly	27	common_gap	0	0	softly
spilled	27	common_gap	0	0	spill
splashing	27	common_gap	0	0	splash
zigzag	27	proper_noun	1	0	zigzag
zipper	27	common_gap	0	0	zipper
blueberry	26	common_gap	0	0	blueberry
cindy	26	proper_noun	1	1	cindy
crib	26	common_gap	0	0	crib
dishwasher	26	common_gap	0	0	dishwasher
fascinated	26	common_gap	0	0	fascinated
forth	26	common_gap	0	0	forth
gary	26	proper_noun	1	1	gary
kangaroo	26	proper_noun	1	0	kangaroo
marble	26	common_gap	0	0	marble
nemo	26	proper_noun	1	1	nemo
peach	26	proper_noun	1	0	peach
pebble	26	common_gap	0	0	pebble
polish	26	common_gap	0	0	polish
pumpkin	26	common_gap	0	0	pumpkin
rabbits	26	common_gap	0	0	rabbit
roared	26	common_gap	0	0	roar
sneeze	26	common_gap	0	0	sneeze
spoiled	26	common_gap	0	0	spoil
stir	26	common_gap	0	0	stir
trumpet	26	common_gap	0	0	trumpet
whistling	26	common_gap	0	0	whistle
yoga	26	common_gap	0	0	yoga
abigail	25	proper_noun	1	1	abigail
beamed	25	common_gap	0	0	beam
beneath	25	common_gap	0	0	beneath
breeze	25	common_gap	0	0	breeze
clara	25	proper_noun	1	1	clara
counter	25	common_gap	0	0	counter
deaf	25	proper_noun	1	0	deaf
dough	25	common_gap	0	0	dough
drawer	25	common_gap	0	0	drawer
emmy	25	proper_noun	1	1	emmy
gifted	25	inflection_miss	0	0	gift
gum	25	common_gap	0	0	gum
hiding	25	proper_noun	1	0	hiding
hoping	25	common_gap	0	0	hop
ink	25	common_gap	0	0	ink
missile	25	common_gap	0	0	missile
pastry	25	common_gap	0	0	pastry
petals	25	common_gap	0	0	petal
scare	25	common_gap	0	0	scare
sharing	25	inflection_miss	1	0	share
snuggled	25	common_gap	0	0	snuggle
spade	25	common_gap	0	0	spade
strawberry	25	common_gap	0	0	strawberry
yay	25	proper_noun	1	1	yay
beak	24	common_gap	0	0	beak
beth	24	proper_noun	1	1	beth
cherries	24	common_gap	0	0	cherry
fearful	24	common_gap	0	0	fearful
gear	24	common_gap	0	0	gear
gust	24	common_gap	0	0	gust
jail	24	common_gap	0	0	jail
oat	24	common_gap	0	0	oat
popcorn	24	common_gap	0	0	popcorn
reef	24	common_gap	0	0	reef
shampoo	24	common_gap	0	0	shampoo
sunlight	24	common_gap	0	0	sunlight
sunset	24	common_gap	0	0	sunset
trap	24	common_gap	0	0	trap
wipe	24	common_gap	0	0	wipe
apron	23	common_gap	0	0	apron
ash	23	common_gap	0	0	ash
birdcage	23	common_gap	0	0	birdcage
bravely	23	common_gap	0	0	bravely
chess	23	common_gap	0	0	chess
chirping	23	common_gap	0	0	chirp
chirpy	23	proper_noun	1	1	chirpy
clearing	23	common_gap	0	0	clearing
collar	23	common_gap	0	0	collar
comb	23	common_gap	0	0	comb
copper	23	proper_noun	1	0	copper
crawl	23	common_gap	0	0	crawl
crawling	23	common_gap	0	0	crawl
gorilla	23	proper_noun	1	0	gorilla
heal	23	common_gap	0	0	heal
humble	23	common_gap	0	0	humble
jerry	23	proper_noun	1	1	jerry
loops	23	proper_noun	1	0	loop
makeup	23	common_gap	0	0	makeup
microphone	23	common_gap	0	0	microphone
milly	23	proper_noun	1	1	milly
oats	23	common_gap	0	0	oats
opera	23	common_gap	0	0	opera
pastel	23	common_gap	0	0	pastel
paws	23	common_gap	0	0	paw
rex	23	proper_noun	1	1	rex
sniffed	23	common_gap	0	0	sniff
sofa	23	common_gap	0	0	sofa
spray	23	common_gap	0	0	spray
squirrels	23	common_gap	0	0	squirrel
stickers	23	common_gap	0	0	sticker
vroom	23	common_gap	0	0	vroom
anchor	22	common_gap	0	0	anchor
bobo	22	proper_noun	1	1	bobo
bracelet	22	common_gap	0	0	bracelet
chloe	22	proper_noun	1	1	chloe
dive	22	common_gap	0	0	dive
grinned	22	common_gap	0	0	grin
haircut	22	common_gap	0	0	haircut
julia	22	proper_noun	1	1	julia
magnet	22	common_gap	0	0	magnet
palm	22	common_gap	0	0	palm
pride	22	common_gap	0	0	pride
quarrel	22	common_gap	0	0	quarrel
rake	22	common_gap	0	0	rake
restless	22	common_gap	0	0	restless
skeleton	22	proper_noun	1	0	skeleton
squeeze	22	common_gap	0	0	squeeze
twig	22	common_gap	0	0	twig
claire	21	proper_noun	1	1	claire
cooler	21	inflection_miss	0	0	cool
darkness	21	common_gap	0	0	darkness
firework	21	common_gap	0	0	firework
flapped	21	common_gap	0	0	flap
fuzzy	21	proper_noun	1	1	fuzzy
granny	21	proper_noun	1	1	granny
herb	21	common_gap	0	0	herb
mimi	21	proper_noun	1	1	mimi
paused	21	common_gap	0	0	pause
penguin	21	common_gap	0	0	penguin
thunder	21	common_gap	0	0	thunder
trail	21	common_gap	0	0	trail
trembling	21	common_gap	0	0	tremble
twisted	21	common_gap	0	0	twisted
veterinarian	21	proper_noun	1	0	veterinarian
zoomed	21	common_gap	0	0	zoom
adorable	20	common_gap	0	0	adorable
bandage	20	common_gap	0	0	bandage
blueberries	20	common_gap	0	0	blueberry
bookcase	20	common_gap	0	0	bookcase
buzzy	20	proper_noun	1	1	buzzy
cart	20	common_gap	0	0	cart
grey	20	common_gap	0	0	grey
grill	20	common_gap	0	0	grill
hedge	20	common_gap	0	0	hedge
igloo	20	common_gap	0	0	igloo
infant	20	common_gap	0	0	infant
jellyfish	20	common_gap	0	0	jellyfish
lime	20	proper_noun	1	0	lime
luna	20	proper_noun	1	1	luna
neighbour	20	common_gap	0	0	neighbour
overjoyed	20	common_gap	0	0	overjoy
panda	20	common_gap	0	0	panda
perched	20	common_gap	0	0	perch
porch	20	common_gap	0	0	porch
puzzles	20	proper_noun	1	0	puzzle
refreshed	20	common_gap	0	0	refresh
rhinoceros	20	common_gap	0	0	rhinoceros
sandcastle	20	common_gap	0	0	sandcastle
slippery	20	common_gap	0	0	slippery
suitcase	20	common_gap	0	0	suitcase
suzy	20	proper_noun	1	1	suzy
thermometer	20	common_gap	0	0	thermometer
vest	20	common_gap	0	0	vest
warmth	20	common_gap	0	0	warmth
yarn	20	common_gap	0	0	yarn
abbie	19	proper_noun	1	1	abbie
alright	19	common_gap	0	0	alright
betsy	19	proper_noun	1	1	betsy
binky	19	proper_noun	1	1	binky
blouse	19	common_gap	0	0	blouse
cereal	19	common_gap	0	0	cereal
chewed	19	common_gap	0	0	chew
chores	19	common_gap	0	0	chore
coloured	19	common_gap	0	0	colour
hunter	19	common_gap	0	0	hunter
julie	19	proper_noun	1	1	julie
luckily	19	proper_noun	0	1	luckily
marbles	19	common_gap	0	0	marble
muffin	19	common_gap	0	0	muffin
puddles	19	common_gap	0	0	puddle
rot	19	common_gap	0	0	rot
sandbox	19	common_gap	0	0	sandbox
scooped	19	common_gap	0	0	scoop
screw	19	proper_noun	1	0	screw
shrugged	19	common_gap	0	0	shrug
sneezed	19	common_gap	0	0	sneeze
squeezed	19	common_gap	0	0	squeeze
stack	19	common_gap	0	0	stack
thumb	19	common_gap	0	0	thumb
unite	19	proper_noun	1	0	unite
waist	19	common_gap	0	0	waist
worm	19	common_gap	0	0	worm
yawned	19	common_gap	0	0	yawn
zipped	19	common_gap	0	0	zip
bark	18	proper_noun	1	0	bark
birdie	18	common_gap	0	0	birdie
blankets	18	common_gap	0	0	blanket
broccoli	18	common_gap	0	0	broccoli
buckle	18	common_gap	0	0	buckle
bumped	18	common_gap	0	0	bump
cheer	18	common_gap	0	0	cheer
crept	18	common_gap	0	0	creep
fireman	18	common_gap	0	0	fireman
fort	18	common_gap	0	0	fort
hidden	18	inflection_miss	0	0	hide
kindly	18	common_gap	0	0	kindly
liz	18	proper_noun	1	1	liz
mop	18	common_gap	0	0	mop
mule	18	common_gap	0	0	mule
mustache	18	common_gap	0	0	mustache
ornaments	18	common_gap	0	0	ornament
pandy	18	proper_noun	1	1	pandy
poked	18	common_gap	0	0	poke
rag	18	common_gap	0	0	rag
reindeer	18	common_gap	0	0	reindeer
ripe	18	common_gap	0	0	ripe
roaring	18	common_gap	0	0	roar
scarf	18	common_gap	0	0	scarf
shield	18	common_gap	0	0	shield
spoil	18	common_gap	0	0	spoil
steak	18	common_gap	0	0	steak
todd	18	proper_noun	1	1	todd
twigs	18	common_gap	0	0	twig
unpack	18	common_gap	0	0	unpack
vet	18	common_gap	0	0	vet
villagers	18	common_gap	0	0	villager
anytime	17	common_gap	0	0	anytime
avocado	17	common_gap	0	0	avocado
bathe	17	common_gap	0	0	bathe
chalk	17	common_gap	0	0	chalk
colour	17	common_gap	0	0	colour
fireplace	17	common_gap	0	0	fireplace
glowing	17	common_gap	0	0	glow
growled	17	common_gap	0	0	growl
helmet	17	common_gap	0	0	helmet
jacky	17	proper_noun	1	1	jacky
kelly	17	proper_noun	1	1	kelly
lumber	17	common_gap	0	0	lumber
nana	17	proper_noun	1	1	nana
ouch	17	proper_noun	1	1	ouch
pat	17	proper_noun	1	1	pat
respectful	17	common_gap	0	0	respectful
shrink	17	common_gap	0	0	shrink
skull	17	common_gap	0	0	skull
snap	17	proper_noun	1	0	snap
sparkles	17	proper_noun	1	0	sparkle
super	17	proper_noun	1	0	super
sword	17	common_gap	0	0	sword
tina	17	proper_noun	1	1	tina
wardrobe	17	common_gap	0	0	wardrobe
yum	17	proper_noun	1	1	yum
barrel	16	common_gap	0	0	barrel
boom	16	common_gap	0	0	boom
bouncy	16	common_gap	0	0	bouncy
bulb	16	proper_noun	1	0	bulb
candles	16	common_gap	0	0	candle
cauliflower	16	common_gap	0	0	cauliflower
