en_lemma	final_eo_root	final_eo_word	old_gloss	anchor_source	reason	_verdict	_analysis	decision	corrected_eo_word	_verdict	_analysis
dearly	kar	kare		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
dinnertime	temp	vespermanĝtempo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	vespermanĝ+temp	ok		WELL_FORMED	vespermanĝ+temp
flick	frap	ekfrapeti		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ek+frapet	ok		WELL_FORMED	ek+frapet
frilly	volan	volana		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
goggle	vitr	naĝokulvitroj		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	naĝ+okulvitr	ok		WELL_FORMED	naĝ+okulvitr
griddle	plat	bakplato		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	bak+pl+at	ok		WELL_FORMED	bak+pl+at
grimy	kot	kotoza		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	koto+z	ok		WELL_FORMED	koto+z
hilltop	supr	montetsupro		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	montet+supr	ok		WELL_FORMED	montet+supr
homemade	far	hejmfarita		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	hejm+f+ar+it	ok		WELL_FORMED	hejm+f+ar+it
huff	snuf	eksnufi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	eks+nu+f	ok		WELL_FORMED	eks+nu+f
jiggly	trem	tremeta		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
lolly	bombon	lekbombono		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lek+bomb+on	ok		WELL_FORMED	lek+bomb+on
lunchbox	kest	manĝokesto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	manĝ+ok+est	ok		WELL_FORMED	manĝ+ok+est
matey	kamarad	kamaradeca		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
meatball	bul	viandbulo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	viand+b+ul	ok		WELL_FORMED	viand+b+ul
naptime	temp	dormtempo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	dorm+temp	ok		WELL_FORMED	dorm+temp
nighttime	temp	noktotempo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	nokt+o+temp	ok		WELL_FORMED	nokt+o+temp
nugget	pec	orpeceto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	or+p+ec+et	ok		WELL_FORMED	or+p+ec+et
opportunistic	oportun	oportunisma		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
playdate	kunven	ludkunveno		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lud+kunven	ok		WELL_FORMED	lud+kunven
pleadingly	pet	petege		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
poolside	rand	basenrando		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	basen+rand	ok		WELL_FORMED	basen+rand
rainfall	pluv	pluvado		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pluv+ad	ok		WELL_FORMED	pluv+ad
rainstorm	ŝtorm	pluvoŝtormo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pluv+o+ŝtorm	ok		WELL_FORMED	pluv+o+ŝtorm
refreshingly	freŝ	refreŝige		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
scariness	tim	timigeco		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	timig+ec	ok		WELL_FORMED	timig+ec
selfie	fot	memfoto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	mem+fot	ok		WELL_FORMED	mem+fot
sheepishly	embaras	embarasite		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
shoebox	kest	ŝuskesto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ŝu+s+kest	ok		WELL_FORMED	ŝu+s+kest
shovels	ŝovel	ŝovelo		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
slurp	sorb	laŭtsorbi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	laŭ+t+sorb	ok		WELL_FORMED	laŭ+t+sorb
smooshy	mol	premmola		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	prem+mol	ok		WELL_FORMED	prem+mol
smoothness	glat	glateco		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	glat+ec	ok		WELL_FORMED	glat+ec
spacesuit	kostum	kosmokostumo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	kosm+ok+ost+um	ok		WELL_FORMED	kosm+ok+ost+um
steadily	stabil	stabile		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
stretchy	elast	elastika		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	el+as+tik	ok		WELL_FORMED	el+as+tik
suave	ĝentil	elegantĝentila		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	el+eg+an+t+ĝen+t+il	ok		WELL_FORMED	el+eg+an+t+ĝen+t+il
summertime	temp	somertempo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	somer+temp	ok		WELL_FORMED	somer+temp
sunburnt	brul	sunbruligita		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	sun+brulig+it	ok		WELL_FORMED	sun+brulig+it
swingset	ar	balancilaro		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	balancil+ar	ok		WELL_FORMED	balancil+ar
teary	larm	larmoplena		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	larm+op+len	ok		WELL_FORMED	larm+op+len
tingly	pik	pikpika		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pik+pik	ok		WELL_FORMED	pik+pik
tiptoes	pint	piedpinte		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pied+p+int	ok		WELL_FORMED	pied+p+int
trek	marŝ	longmarŝo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	long+marŝ	ok		WELL_FORMED	long+marŝ
truthfully	ver	vereme		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
twirly	turn	turniĝema		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	turniĝ+em	ok		WELL_FORMED	turniĝ+em
unpleasantly	agrabl	malagrable		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
unstuck	fiks	malfiksita		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	mal+fiksit	ok		WELL_FORMED	mal+fiksit
upside	flank	supraflanko		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	supr+a+flank	ok		WELL_FORMED	supr+a+flank
waggly	sving	svingiĝema		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	svingiĝ+em	ok		WELL_FORMED	svingiĝ+em
waggy	sving	svingema		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	sving+em	ok		WELL_FORMED	sving+em
walkway	voj	promenvojo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pro+m+en+voj	ok		WELL_FORMED	pro+m+en+voj
wetsuit	kostum	mergokostumo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	merg+ok+ost+um	ok		WELL_FORMED	merg+ok+ost+um
whiteboard	tabul	blanktabulo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	blank+tab+ul	ok		WELL_FORMED	blank+tab+ul
wingbeat	bat	flugilbato		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	flugil+b+at	ok		WELL_FORMED	flugil+b+at
paw	pied	piedeto	leg, paw, limb	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pied+et	ok		WELL_FORMED	pied+et
lime	lime	limeo	lime	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lim+e	ok		WELL_FORMED	lim+e
whisker	vibris	vibriso	sideburn, whisker	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	vibr+i+s	ok		WELL_FORMED	vibr+i+s
marshmallow	marŝmal	marŝmalo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	marŝ+mal	ok		WELL_FORMED	marŝ+mal
stalk	kaŝsekv	kaŝsekvi	to pace, stalk, step, stride, tread	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	kaŝ+sekv	ok		WELL_FORMED	kaŝ+sekv
twitch	spasm	spasmeti	twitch	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	spasm+et	ok		WELL_FORMED	spasm+et
boarding	enir	enirado	boarding	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	en+irad	ok		WELL_FORMED	en+irad
swollen	ŝvel	ŝvelinta	to distend, inflate, swell, swollen	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ŝvel+int	ok		WELL_FORMED	ŝvel+int
ajar	duonmalferm	duonmalfermita	ajar, discordant	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	duon+malferm+it	ok		WELL_FORMED	duon+malferm+it
collage	kolaĝ	kolaĝo	collage	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	kol+aĝ	ok		WELL_FORMED	kol+aĝ
disguise	alivest	alivestiĝo	disguise	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	al+i+vest+iĝ	ok		WELL_FORMED	al+i+vest+iĝ
filling	plenigaĵ	plenigaĵo	filling	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	plenig+aĵ	ok		WELL_FORMED	plenig+aĵ
finder	trov	trovanto	finder, search command, search engine, search tool, search function	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	trov+ant	ok		WELL_FORMED	trov+ant
tapestry	gobelin	gobelino	tapestry, wall covering, wallpaper	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	go+bel+in	ok		WELL_FORMED	go+bel+in
sparkly	scintil	scintila		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	s+c+int+il	ok		WELL_FORMED	s+c+int+il
laundry	lav	lavaĵo	laundry, lavatory, washroom	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lav+aĵ	ok		WELL_FORMED	lav+aĵ
muffin	mufen	mufeno		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	muf+en	ok		WELL_FORMED	muf+en
lollipop	lekbombon	lekbombono		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lek+bomb+on	ok		WELL_FORMED	lek+bomb+on
snuggle	alprem	alpremiĝi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	al+prem+iĝ	ok		WELL_FORMED	al+prem+iĝ
reverse	antaŭ	malantaŭeniri	inverse, inverted, reverse, reversed	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	mal+antaŭenir	ok		WELL_FORMED	mal+antaŭenir
haircut	hartond	hartondo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	har+tond	ok		WELL_FORMED	har+tond
scurry	kur	kureti		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	kur+et	ok		WELL_FORMED	kur+et
venture	aventur	aventuri	to hazard, risk, venture	curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
mop	ŝvabr	ŝvabrilo	to mop, swab	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ŝvabr+il	ok		WELL_FORMED	ŝvabr+il
prune	sekprun	sekpruno	to crop, trim, prune	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	sek+prun	ok		WELL_FORMED	sek+prun
lotion	loci	locio		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	l+o+ci	ok		WELL_FORMED	l+o+ci
glitter	scintil	scintili	to glitter	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	s+c+int+il	ok		WELL_FORMED	s+c+int+il
hider	kaŝ	kaŝiĝanto	hider, concealer	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	kaŝiĝ+ant	ok		WELL_FORMED	kaŝiĝ+ant
itchy	juk	juka		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
racer	vetkurist	vetkuristo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	vetkur+ist	ok		WELL_FORMED	vetkur+ist
soapy	sap	sapa		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
dolly	pup	pupeto	dolly	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pup+et	ok		WELL_FORMED	pup+et
jailer	prizongardist	prizongardisto	jailer, prison guard	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pri+zon+gard+ist	ok		WELL_FORMED	pri+zon+gard+ist
mermaid	marvirin	marvirino	mermaid, siren	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	mar+vir+in	ok		WELL_FORMED	mar+vir+in
scamper	kur	kureti		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	kur+et	ok		WELL_FORMED	kur+et
tiptoe	piedpint	piedpinte		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pied+p+int	ok		WELL_FORMED	pied+p+int
puff	puf	pufi	padding, puff, swelling, stuffing, wad, pad	curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
ranger	parkgardist	parkgardisto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	park+gard+ist	ok		WELL_FORMED	park+gard+ist
treehouse	arbodom	arbodomo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	arb+od+om	ok		WELL_FORMED	arb+od+om
gobble	vor	voregi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	vor+eg	ok		WELL_FORMED	vor+eg
zookeeper	bestogardist	bestogardisto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	best+o+gard+ist	ok		WELL_FORMED	best+o+gard+ist
sandpit	sabluj	sablujo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	sabl+uj	ok		WELL_FORMED	sabl+uj
seashell	markonk	markonko		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	mark+on+k	ok		WELL_FORMED	mark+on+k
smiley	rid	rideta	smiley	curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
townspeople	urban	urbanoj		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
